anger disgust fear joy sad surprise 
0.0858981 0.112296 0.262921 0.196454 0.129069 0.213363 
0.0828273 0.0341096 0.264808 0.239582 0.175981 0.202692 
0.0322171 0.0175545 0.278845 0.142409 0.160235 0.36874 
0.071806 0.0350898 0.218298 0.12517 0.403509 0.146127 
0.105011 0.0917509 0.1708 0.00211484 0.524316 0.106007 
0.0774373 0.0511355 0.103094 0.327298 0.187569 0.253467 
0.149618 0.0616601 0.328131 0.0910478 0.230535 0.139008 
0.0869913 0.0869913 0.0434957 0.521648 0.108689 0.152185 
0.000312203 0.0418987 0.24986 0.16663 0.00103678 0.540262 
0.0272312 0.00596569 0.115945 0.508123 0.181743 0.160992 
0.0374874 0.000102444 0.100694 0.312519 0.199484 0.349714 
0.0265053 0.0442088 0.24785 0.0265053 0.557612 0.0973195 
0.0865731 0.0529492 0.157176 0.281343 0.191442 0.230517 
0.0140631 0.0351877 0.0633738 0.00707102 0.66235 0.217955 
0.159128 0.110206 0.116 0.320346 0.17025 0.12407 
1.20923e-007 5.44448e-008 8.72031e-008 0.7386 1.69255e-007 0.2614 
0.175153 0.193753 0.0220229 0.41227 0.027607 0.169194 
0.0147248 0.0101895 0.133043 0.558307 0.100631 0.183105 
0.0143398 0.00915752 0.348402 0.0726206 0.17124 0.38424 
0.0729336 0.162247 0.145481 0.206947 0.185635 0.226756 
0.133314 0.124413 0.222222 0.217821 0.137814 0.164416 
5.6075e-007 3.71154e-007 0.0933011 0.546697 0.0800013 0.279999 
0.0865731 0.0529492 0.157176 0.281343 0.191442 0.230517 
0.134151 0.0740497 0.173088 0.0578955 0.313004 0.247812 
0.118124 0.0050246 0.303794 0.212438 0.171447 0.189172 
0.129661 0.0667041 0.0549344 0.395684 0.0460352 0.306982 
0.123604 0.104139 0.323507 0.0033412 0.366911 0.0784981 
0.0320876 0.031724 0.0342812 0.231158 0.0356676 0.635082 
0.0968168 0.0964215 0.206368 0.000612821 0.5867 0.0130817 
0.193478 0.0447688 0.224257 0.0447584 0.492064 0.000673449 
0.109343 0.0255337 0.162781 0.0184278 0.512659 0.171256 
0.123023 0.062782 0.25125 0.00667538 0.548082 0.0081877 
0.247499 0.1634 0.2129 8.09163e-007 0.376199 8.53062e-007 
0.0912181 0.0726036 0.0923791 0.324208 0.179232 0.240359 
0.225563 0.103711 0.231378 0.0887692 0.24302 0.107559 
0.195304 0.000102753 0.000233578 0.00106609 0.162734 0.64056 
0.0444709 0.0397571 0.00620155 0.691971 0.0507267 0.166872 
0.0340889 0.0270562 0.0686999 0.570926 0.1825 0.116729 
0.0215819 0.00870684 0.316188 0.212161 0.256578 0.184784 
0.0713177 0.0863378 0.258159 0.151784 0.164052 0.268349 
0.0413051 0.0108114 0.0457376 0.495048 0.0957675 0.31133 
0.0675377 0.0269031 0.223899 0.217753 0.323684 0.140223 
0.000350608 0.000202108 0.424948 0.211979 0.301594 0.0609267 
0.000368274 0.000218792 0.000382738 0.843718 0.000822583 0.15449 
0.0865731 0.0529492 0.157176 0.281343 0.191442 0.230517 
0.137359 0.0639712 0.228324 0.145108 0.248478 0.17676 
0.0405058 0.0522553 0.163547 0.338604 0.139045 0.266043 
0.050328 0.0440089 0.106126 0.464924 0.124047 0.210567 
0.0169548 0.0165728 0.229346 0.00580585 0.120737 0.610584 
0.0453891 0.0438128 0.143801 0.371456 0.146725 0.248815 
0.0368418 0.0216538 0.178849 0.249855 0.276777 0.236023 
0.0116479 0.00376965 0.0279151 0.687875 0.121159 0.147633 
0.130262 0.0185014 0.310335 0.167151 0.279202 0.0945488 
0.0398973 0.0187839 0.130038 0.44259 0.133829 0.234863 
4.09657e-010 3.07728e-011 0.0313004 0.5208 0.0104 0.4375 
0.167453 0.23342 0.0774958 0.197158 0.100863 0.22361 
0.0653815 0.0285111 0.242436 0.038998 0.453757 0.170917 
0.0731304 0.414201 0.00356419 0.00233098 0.504772 0.00200173 
0.106142 0.183163 0.108881 0.108315 0.324995 0.168504 
0.028514 0.0172557 0.000425944 0.0228885 0.320169 0.610747 
0.0764928 0.0643814 0.0847097 0.449079 0.120863 0.204475 
0.0865731 0.0529492 0.157176 0.281343 0.191442 0.230517 
0.0185372 0.00436456 0.24732 0.0702403 0.486744 0.172794 
0.10328 0.118275 0.177527 0.287602 0.111839 0.201477 
0.0829457 0.0481143 0.175705 0.101665 0.302657 0.288914 
9.36446e-020 6.1286e-020 0.4328 0.5672 2.82016e-019 1.85886e-018 
0.000554976 0.00070042 0.00535279 0.542123 0.00235788 0.448911 
0.0786096 0.0302508 0.20129 0.211294 0.338336 0.14022 
0.0278001 0.2639 0.3194 0.2222 0.0417002 0.125 
0.00949511 0.000775942 0.0474063 0.379767 0.060371 0.502184 
0.2727 0.1818 2.15503e-008 0.1091 0.2364 0.2 
0.000710444 0.0841308 0.237307 0.290686 0.0534235 0.333742 
0.0682074 0.0592249 0.19558 0.165706 0.309683 0.201599 
0.0733908 0.0510801 0.0919282 0.341889 0.168068 0.273643 
0.106319 0.0890473 0.182111 0.272297 0.0928321 0.257393 
0.000237704 0.0206049 0.483112 0.00110811 0.216378 0.278559 
0.0783257 0.0262882 0.264112 0.000812218 0.604035 0.0264264 
0.0698569 0.000465328 0.326322 0.0011583 0.497673 0.104524 
0.0479922 0.0515009 0.0872316 0.504551 0.0348203 0.273904 
0.0199305 0.0121624 0.111743 0.117516 0.459585 0.279063 
0.0889611 0.102194 0.234471 0.0392278 0.229609 0.305537 
0.0616701 0.0168021 0.199054 0.441162 0.0821746 0.199137 
0.101838 0.0370475 0.0599767 0.139568 0.131919 0.529651 
0.0273969 9.24666e-010 0.136926 0.739555 0.0547062 0.0414164 
0.12863 0.118206 0.179096 0.124312 0.304686 0.14507 
0.12473 0.0585125 0.233084 0.019286 0.492567 0.0718208 
0.0585832 0.00597828 0.0180561 0.58691 0.0563393 0.274133 
0.0815454 0.00368491 0.231276 0.0304937 0.625512 0.0274873 
0.000209175 0.000152005 0.00051061 0.824755 0.00104808 0.173325 
0.1569 0.0588 0.1961 0.098 0.2418 0.2484 
0.0584258 0.0546189 0.147389 0.492894 0.0607387 0.185933 
0.0785635 0.034934 0.129473 0.140868 0.237013 0.379148 
0.1111 3.27009e-011 1.97115e-010 0.2222 0.4815 0.1852 
0.190861 0.100695 0.255838 0.0969494 0.261621 0.0940359 
0.215255 0.270452 0.132982 0.00476075 0.222789 0.153761 
3.83358e-007 2.79071e-008 0.0318218 0.520857 0.0103889 0.436932 
0.173117 0.0421621 0.326495 0.194195 0.119071 0.144959 
0.0361848 0.00564528 0.0981432 0.526377 0.142928 0.190721 
0.0343482 0.0369171 0.0957549 0.0948738 0.572507 0.165599 
0.253339 0.0529721 0.0555002 0.181643 0.0802877 0.376258 
0.0503428 0.0512421 0.167162 0.23763 0.319034 0.174589 
0.01347 0.0039531 0.0118522 0.786437 0.0148574 0.16943 
1.16292e-005 6.69385e-006 0.380946 2.82207e-005 0.488438 0.130569 
0.0776711 0.0725387 0.15317 0.349037 0.108894 0.238689 
0.0865731 0.0529492 0.157176 0.281343 0.191442 0.230517 
0.153399 0.140561 0.4111 0.0485851 0.132482 0.113874 
0.103069 0.000141523 0.286769 0.000103423 0.587607 0.0223101 
0.202735 0.0696268 0.208518 0.153014 0.20401 0.162097 
0.137044 0.0270897 0.287975 0.0802093 0.316553 0.151128 
0.0442404 0.0610393 0.071156 0.253294 0.132292 0.437978 
7.18695e-006 0.188156 8.16338e-006 0.152952 3.71017e-005 0.658839 
0.108265 0.0732683 0.0795021 0.0664061 0.453888 0.21867 
0.0317109 0.278563 0.37865 0.0788463 0.110899 0.121331 
0.128537 0.0875465 0.301229 0.0123978 0.346737 0.123553 
0.278017 0.199834 0.163476 0.0633813 0.256191 0.0391016 
0.111652 0.0234255 0.593747 0.0496327 0.183254 0.0382883 
0.0865731 0.0529492 0.157176 0.281343 0.191442 0.230517 
0.114612 0.0792093 0.277037 0.35082 0.095419 0.0829027 
0.232566 0.126253 0.246682 0.0784729 0.222809 0.0932164 
0.215792 0.138857 0.182457 0.190034 0.14813 0.124732 
0.181201 0.163437 0.265907 0.151938 0.219344 0.0181733 
7.3959e-012 5.05642e-012 0.070407 0.0563056 1.86865e-011 0.873287 
0.125822 0.0130734 0.301631 0.199419 0.192983 0.167072 
0.192873 0.164558 0.221914 0.0674815 0.130917 0.222257 
0.0548673 0.0181263 0.262213 0.113605 0.512811 0.0383784 
0.0289495 0.00957749 0.36023 0.447576 0.0196639 0.134003 
0.0263675 0.00634286 0.415442 0.184808 0.223872 0.143167 
0.0865731 0.0529492 0.157176 0.281343 0.191442 0.230517 
0.10345 0.029553 0.289264 0.074011 0.118882 0.38484 
0.0407703 0.00472596 0.106887 0.433037 0.196555 0.218024 
0.0344123 0.0568358 0.110104 0.183886 0.199014 0.415748 
0.146314 0.0217564 0.291366 0.19212 0.209663 0.138781 
0.209704 0.0840715 0.268895 0.0753957 0.255952 0.105981 
0.00028577 0.000279552 0.000239841 0.587894 0.0459178 0.365383 
0.00840704 0.000269568 0.0244053 0.000130388 0.73306 0.233728 
0.6282 2.57777e-008 3.87136e-008 1.61e-007 0.1795 0.1923 
0.00976275 3.36235e-006 0.327425 0.00977679 0.541218 0.111814 
0.113733 0.0112566 0.210474 0.101991 0.466369 0.0961767 
0.00338226 0.0227632 0.0389564 0.582635 0.0729485 0.279315 
0.213197 0.134741 0.202859 0.0680517 0.27836 0.102792 
0.170514 0.0897038 0.268089 0.126352 0.237071 0.108269 
0.00148587 0.000428268 0.0357667 0.493054 0.0937856 0.375479 
0.183673 0.125716 0.131779 0.14863 0.160182 0.250021 
0.11986 0.0803427 0.273489 0.0143947 0.390514 0.1214 
0.0865731 0.0529492 0.157176 0.281343 0.191442 0.230517 
0.0865731 0.0529492 0.157176 0.281343 0.191442 0.230517 
0.135526 0.108677 0.0982368 0.161792 0.223069 0.272699 
0.195198 0.0408642 0.365059 0.115069 0.139633 0.144177 
0.00761426 0.056685 0.0488841 0.360713 0.149585 0.376519 
0.0489279 0.0241888 0.148007 0.395965 0.0905213 0.29239 
0.0341013 0.0115687 0.354891 0.440621 0.024346 0.134472 
0.209514 0.102347 0.251696 0.0661599 0.238356 0.131928 
4.63143e-012 2.18936e-017 0.0331 0.4967 0.0927 0.3775 
0.11446 0.066224 0.220518 0.0876639 0.430885 0.0802486 
0.019932 0.0121633 0.0364682 0.755138 0.045715 0.130584 
0.125652 0.129735 0.162246 0.322071 0.13351 0.126786 
0.00272246 0.00180914 0.00339355 0.0636605 0.00624111 0.922173 
0.122456 0.15752 0.130017 0.128079 0.185082 0.276847 
0.157089 0.073505 0.24941 0.100663 0.301772 0.11756 
0.00482032 0.00225154 0.0254464 0.694878 0.0628208 0.209783 
0.0177192 0.0079998 0.100222 0.63814 0.098165 0.137754 
0.0946547 0.0423232 0.0789018 0.364346 0.0535519 0.366223 
0.00619525 0.0037806 0.011335 0.731869 0.0142091 0.232611 
0.0211256 0.00141754 0.20889 0.130164 0.5889 0.0495029 
0.0592866 0.0149378 0.188422 0.466175 0.0745063 0.196673 
4.1211e-009 0.0212979 0.0637936 0.765923 0.0212979 0.127687 
0.00171339 0.000712624 0.00504418 0.721227 0.00352125 0.267782 
0.0481369 0.00164889 0.133803 0.341152 0.176171 0.299088 
0.174551 0.0816655 0.419287 0.00138497 0.272996 0.0501157 
0.143255 0.176733 0.140771 0.130962 0.144808 0.263471 
0.0769149 0.0502643 0.0982106 0.338071 0.176583 0.259956 
0.0689047 0.0181255 0.18075 0.300051 0.105504 0.326664 
0.105641 0.0388126 0.244761 0.266094 0.179083 0.165608 
0.0721061 0.0287457 0.290308 0.304179 0.0991179 0.205544 
0.130102 0.0411384 0.218596 0.356926 0.115161 0.138077 
0.00120336 0.000786402 0.0130454 0.521318 0.00658445 0.457062 
0.102006 0.0135507 0.0856441 0.421907 0.0986003 0.278291 
3.06865e-005 9.08555e-006 0.326979 0.31719 9.33702e-005 0.355698 
0.211564 0.172977 0.238649 0.0584144 0.205268 0.113128 
0.0223743 0.0136537 0.0409366 0.39116 0.135474 0.396401 
0.151326 0.0799065 0.255796 0.0815648 0.380004 0.0514024 
0.0865731 0.0529492 0.157176 0.281343 0.191442 0.230517 
